행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
"「차 없는 거리, 문화행사」 찾아가는 음악회",계산체육국민센터 앞 도로,차 없는 거리 문화행사와 연계하여 음악회 개최,2024-10-26,2024-10-26,11:00,15:30,무료,인천광역시 계양구청,인천광역시 계양구청,032-450-5877,,,무료,전연령대,,,,, ,인천광역시 계양구 주부토로 580,,,,2025-08-20,3550000,인천광역시 계양구
"「크리스마스트리, 문화행사」 찾아가는 음악회",계양아라온 특설무대,크리스마스트리 문화행사와 연계하여 음악회 개최,2024-12-09,2024-12-09,17:00,18:00,무료,인천광역시 계양구청,인천광역시 계양구청,032-450-5877,,,무료,전연령대,,,,, ,,인천광역시 계양구 장기동 112-6,,,2025-08-20,3550000,인천광역시 계양구
용산 국가유산 야행,효창공원 일대,여섯가지 테마를 통해 독립운동에 대한 역사문화행사,2025-09-12,2025-09-13,17:00,22:00,무료,서울특별시 용산구청 문화진흥과,서울특별시 용산구청 문화진흥과,02-2199-7245,,,,,,,,, ,서울특별시 용산구 효창원로 177-18,,37.54495741,126.9622909,2025-08-05,3020000,서울특별시 용산구
서울시립교향악단과 함께하는 「우리동네 음악회 실내악」,용산아트홀 대극장,서울시립교향악단 초청 실내악 연주공연,2025-09-17,2025-09-17,19:00,20:00,무료,(재)서울시립교향악단,서울특별시 용산구청 문화진흥과,02-2199-7252,,700,,,,,,, ,서울특별시 용산구 녹사평대로 150,,37.53245442,126.9904785,2025-08-05,3020000,서울특별시 용산구
유관순 열사 순국 추모제,이태원부군당역사공원,유관순 열사의 숭고한 넋을 기리기 위한 추모제,2025-09-25,2025-09-25,14:00,15:00,무료,서울특별시 용산구청 문화진흥과,서울특별시 용산구청 문화진흥과,02-2199-7246,,,,,,,,, ,서울특별시 용산구 녹사평대로40다길 33,,37.53580895,126.9897319,2025-08-05,3020000,서울특별시 용산구
"상주단체 육성지원사업 「멘델스존,그 우아함에 대하여」",용산아트홀 대극장,멘델스존 <바이올린 협주곡> 등 클래식공연,2025-10-30,2025-10-30,19:30,21:00,무료,트리니티이앤앰,서울특별시 용산구청 문화진흥과,02-2199-7255,,700,,,,,,, ,서울특별시 용산구 녹사평대로 150,,37.53245442,126.9904785,2025-08-05,3020000,서울특별시 용산구
세종문화회관 문화배달서비스 「2025 누구나 예술로 동행」,용산아트홀 대극장,재즈로 만나는 「사운드 오브 뮤직」,2025-11-13,2025-11-13,19:00,20:30,무료,(재)세종문화회관,서울특별시 용산구청 문화진흥과,02-2199-7252,,700,,,,,,, ,서울특별시 용산구 녹사평대로 150,,37.53245442,126.9904785,2025-08-05,3020000,서울특별시 용산구
남이장군사당제,남이장군사당 일대,걸립+꽃등행렬+당제+장군출진+당굿+사례제,2025-11-17,2025-11-21,10:00,18:00,무료,남이장군사당제보존회,남이장군사당제보존회,02-2199-7245,,,,,,,,, ,서울특별시 용산구 효창원로 88-10,,37.53648382,126.9584706,2025-08-05,3020000,서울특별시 용산구
용산 예술무대,용산아트홀 대극장,"가요,재즈,국악, 탱고 여러장르의 문화예술 공연",2025-12-18,2025-12-18,19:00,20:30,무료,서울특별시 용산구청 문화진흥과,서울특별시 용산구청 문화진흥과,02-2199-7252,,700,,,,,,, ,서울특별시 용산구 녹사평대로 150,,37.53245442,126.9904785,2025-08-05,3020000,서울특별시 용산구
2022 신년음악회<A New Year Concert>,코스모스대극장,클래식,2022-02-22,2022-02-22,19:30,21:00,무료,구리문화재단,구리문화재단,031-580-7900,,315,,만 7세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
[문화가 있는 날-키즈브런치] 아카펠라그룹 제니스와 함께하는 목소리상자,코스모스대극장,대중음악,2022-02-23,2022-02-23,11:00,21:00,무료,구리문화재단,구리문화재단,031-580-7900,,315,,만 24개월 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
윤한의 화이트데이 콘서트 with 권서경,코스모스대극장,대중음악,2022-03-19,2022-03-19,19:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,500,R석 3만원+S석 2만원,만 7세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
